Date,Takeaway Amount
02-01-15,420.00
02-01-15,512.00
03-01-15,428.00
03-01-15,13500.00
06-01-15,300.00
07-01-15,5740.00
07-01-15,1259.00
07-01-15,1550.00
07-01-15,21350.00
08-01-15,5740.00
11-01-15,70000.00
12-01-15,280.00
25-01-15,12150.00
28-01-15,280.00
29-01-15,2850.00
29-01-15,100.00
01-02-15,68849.00
08-02-15,30000.00
08-02-15,30000.00
09-02-15,30000.00
09-02-15,1820.00
09-02-15,30000.00
10-02-15,1400.00
10-02-15,420.00
10-02-15,30000.00
10-02-15,60000.00
11-02-15,26400.00
19-02-15,30000.00
19-02-15,30000.00
20-02-15,30000.00
20-02-15,30000.00
21-02-15,29500.00
21-02-15,28000.00
25-02-15,77000.00
27-02-15,49050.00
05-03-15,9001.00
08-03-15,38500.00
12-03-15,21000.00
13-03-15,1400.00
13-03-15,7500.00
17-03-15,300.00
20-03-15,22200.00
27-03-15,12000.00
27-03-15,12000.00
03-04-15,400.00
03-04-15,100.00
04-04-15,573.00
04-04-15,1301.00
06-04-15,300.00
08-04-15,700.00
08-04-15,420.00
08-04-15,280.00
11-04-15,6999.00
12-04-15,34800.00
13-04-15,38250.00
19-04-15,11875.00
20-04-15,7514.00
20-04-15,14014.00
24-04-15,19600.00
25-04-15,43200.00
25-04-15,8000.00
25-04-15,39600.00
26-04-15,9600.00
01-05-15,1200.00
04-05-15,2700.00
05-05-15,3500.00
05-05-15,140.00
08-05-15,200.00
08-05-15,280.00
08-05-15,3500.00
08-05-15,12500.00
09-05-15,6500.00
10-05-15,7000.00
11-05-15,13750.00
13-05-15,2200.00
13-05-15,6650.00
14-05-15,4550.00
15-05-15,7150.00
17-05-15,17100.00
22-05-15,9400.00
24-05-15,5001.00
24-05-15,8000.00
24-05-15,25550.00
25-05-15,5950.00
26-05-15,12250.00
26-05-15,140.00
28-05-15,560.00
30-05-15,3860.00
31-05-15,8400.00
03-06-15,18450.00
06-06-15,800.00
07-06-15,12000.00
11-06-15,2835.00
12-06-15,1120.00
12-06-15,150.00
12-06-15,5200.00
12-06-15,10000.00
14-06-15,4599.00
14-06-15,6750.00
14-06-15,7200.00
14-06-15,55350.00
14-06-15,7700.00
16-06-15,8000.00
17-06-15,9000.00
18-06-15,1701.00
18-06-15,11220.00
20-06-15,37799.00
20-06-15,30600.00
21-06-15,12000.00
24-06-15,10199.00
27-06-15,10000.00
28-06-15,8000.00
28-06-15,8500.00
30-06-15,5000.00
01-07-15,10000.00
02-07-15,8000.00
03-07-15,560.00
03-07-15,420.00
03-07-15,140.00
04-07-15,1100.00
04-07-15,6400.00
06-07-15,22000.00
07-07-15,9000.00
08-07-15,140.00
09-07-15,200.00
09-07-15,35750.00
11-07-15,420.00
11-07-15,450.00
12-07-15,5000.00
12-07-15,5750.00
12-07-15,17100.00
14-07-15,1365.00
14-07-15,140.00
15-07-15,1260.00
15-07-15,280.00
15-07-15,105.00
15-07-15,140.00
16-07-15,560.00
17-07-15,630.00
18-07-15,22003.00
19-07-15,7500.00
19-07-15,8075.00
19-07-15,3500.00
19-07-15,13950.00
23-07-15,1250.00
24-07-15,200.00
24-07-15,100.00
25-07-15,10500.00
25-07-15,16000.00
26-07-15,147003.00
26-07-15,12750.00
26-07-15,7000.00
26-07-15,7500.00
28-07-15,150.00
28-07-15,100.00
31-07-15,7700.00
01-08-15,480.00
01-08-15,140.00
01-08-15,5200.00
01-08-15,5600.00
01-08-15,76499.00
02-08-15,8000.00
06-08-15,473.00
07-08-15,1680.00
08-08-15,1654.00
08-08-15,11700.00
09-08-15,158.00
09-08-15,578.00
09-08-15,8800.00
09-08-15,9900.00
11-08-15,1500.00
12-08-15,200.00
13-08-15,200.00
14-08-15,21600.00
15-08-15,10000.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1302.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,1300.00
19-08-15,700.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
19-08-15,800.00
20-08-15,18000.00
20-08-15,34142.00
23-08-15,27500.00
23-08-15,15750.00
24-08-15,300.00
25-08-15,300.00
25-08-15,2700.00
02-04-16,22499.00
03-04-16,29999.00
04-04-16,209.00
04-04-16,13001.00
06-04-16,28700.00
09-04-16,4299.00
09-04-16,8600.00
09-04-16,0.00
16-04-16,44300.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
18-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
19-04-16,400.00
20-04-16,801.00
21-04-16,140.00
22-04-16,140.00
22-04-16,140.00
23-04-16,281.00
23-04-16,34800.00
23-04-16,15999.00
24-04-16,6330.00
26-04-16,422.00
01-05-16,123750.00
02-05-16,211.00
09-05-16,40000.00
13-05-16,317.00
13-05-16,211.00
14-05-16,317.00
19-05-16,11500.00
25-05-16,280.00
26-05-16,158.00
26-05-16,280.00
29-05-16,14875.00
31-05-16,280.00
02-06-16,1108.00
05-06-16,18000.00
05-06-16,10501.00
05-06-16,1500.00
06-06-16,422.00
06-06-16,3620.00
06-06-16,12000.00
08-06-16,158.00
09-06-16,106.00
11-06-16,9600.00
12-06-16,9800.00
12-06-16,10000.00
14-06-16,211.00
14-06-16,106.00
14-06-16,158.00
14-06-16,10150.00
15-06-16,211.00
16-06-16,211.00
17-06-16,528.00
17-06-16,211.00
21-06-16,633.00
27-06-16,2321.00
27-06-16,106.00
02-07-16,11700.00
02-07-16,8500.00
03-07-16,8550.00
03-07-16,13500.00
04-07-16,19000.00
05-07-16,1108.00
06-07-16,633.00
06-07-16,20250.00
06-07-16,15000.00
08-07-16,14400.00
09-07-16,94599.00
09-07-16,94599.00
09-07-16,5501.00
10-07-16,9000.00
10-07-16,11699.00
10-07-16,4675.00
11-07-16,3956.00
13-07-16,457.00
17-07-16,10800.00
17-07-16,7501.00
17-07-16,8099.00
19-07-16,844.00
19-07-16,280.00
20-07-16,2100.00
20-07-16,420.00
21-07-16,950.00
21-07-16,100.00
22-07-16,3165.00
23-07-16,950.00
23-07-16,422.00
23-07-16,8000.00
24-07-16,15299.00
25-07-16,18001.00
26-07-16,8550.00
27-07-16,106.00
27-07-16,1266.00
27-07-16,5400.00
28-07-16,1899.00
28-07-16,200.00
28-07-16,200.00
28-07-16,200.00
28-07-16,10500.00
29-07-16,3482.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
29-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
30-07-16,200.00
31-07-16,3750.00
31-07-16,12500.00
31-07-16,8750.00
31-07-16,200.00
31-07-16,200.00
31-07-16,200.00
31-07-16,200.00
01-08-16,200.00
01-08-16,200.00
01-08-16,8750.00
02-08-16,400.00
02-08-16,200.00
02-08-16,200.00
02-08-16,7750.00
02-08-16,120000.00
02-08-16,32000.00
02-08-16,8000.00
03-08-16,400.00
03-08-16,25000.00
03-08-16,27060.00
05-08-16,158.00
05-08-16,500.00
06-08-16,148.00
06-08-16,158.00
06-08-16,500.00
06-08-16,500.00
06-08-16,500.00
07-08-16,500.00
07-08-16,16650.00
07-08-16,28350.00
07-08-16,500.00
09-08-16,148.00
10-08-16,158.00
10-08-16,500.00
10-08-16,500.00
10-08-16,500.00
10-08-16,399.00
11-08-16,2849.00
12-08-16,2321.00
14-08-16,600.00
14-08-16,400.00
14-08-16,600.00
14-08-16,400.00
14-08-16,6300.00
14-08-16,8750.00
14-08-16,3001.00
14-08-16,7650.00
15-08-16,8000.00
19-08-16,1424.00
19-08-16,475.00
19-08-16,560.00
25-08-16,6000.00
26-08-16,158.00
27-08-16,1372.00
28-08-16,123001.00
29-08-16,7000.00
29-08-16,839.00
31-08-16,420.00
02-09-16,13000.00
03-09-16,422.00
03-09-16,106.00
04-09-16,7399.00
05-09-16,633.00
05-09-16,3165.00
11-09-16,3600.00
11-09-16,35700.00
13-09-16,5000.00
17-09-16,30175.00
17-09-16,8100.00
21-09-16,158.00
23-09-16,211.00
25-09-16,317.00
25-09-16,280.00
25-09-16,20000.00
25-09-16,15000.00
26-09-16,29540.00
29-09-16,633.00
01-10-16,211.00
04-10-16,4501.00
06-10-16,422.00
06-10-16,14000.00
07-10-16,560.00
10-10-16,317.00
12-10-16,1055.00
13-10-16,1266.00
13-10-16,422.00
16-10-16,9000.00
18-10-16,4620.00
19-10-16,200.00
26-10-16,500.00
26-10-16,500.00
26-10-16,6149.00
27-10-16,317.00
27-10-16,317.00
27-10-16,9900.00
04-11-16,317.00
04-11-16,21280.00
04-11-16,4000.00
05-11-16,132.00
06-11-16,4748.00
06-11-16,8925.00
07-11-16,228.00
08-11-16,672.00
